year,category,nominee,workers,winner
2007,Best Comedy Album,Blue Collar Comedy Tour: One for the Road,"Bill Engvall, Ron White, Jeff Foxworthy, Larry the Cable Guy",False
2007,Best Comedy Album,You Can't Fix Stupid,Ron White,False
2007,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Walk the Line,"Joaquin Phoenix, T Bone Burnett (Producer), Mike Piersante (Engineer/Mixer)",True
2007,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Volume 2,Cars,False
2007,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Little Miss Sunshine,"DeVotchKa, Mychael Danna (producer)",False
2007,Best Contemporary Blues Album,After The Rain,"Irma Thomas (artist), Scott Billington (producer), David Farrell (engineer/mixer), Paul Q. Kolderie (engineer/mixer), Steve Reynolds (engineer/mixer), Adam Taylor (engineer/mixer)",True
2007,Best Contemporary Folk/Americana Album,Modern Times,"Bob Dylan (artist), Chris Shaw (engineer/mixer)",True
2007,Best Contemporary Jazz Album,The Hidden Land,"Bela Fleck (artist), Richard Battaglia (engineer/mixer), Robert Battaglia (engineer/mixer)",True
2007,Best Contemporary R&B Album,B'Day,"Beyoncé (artist), Jim Caruana (engineer/mixer), Jason Goldstein (engineer/mixer)",True
2007,Best Contemporary R&B Album,20 Y.O.,Janet Jackson,False
2007,Best Contemporary R&B Album,In My Own Words,Ne-Yo,False
2007,Best Contemporary R&B Gospel Album,Hero,"Kirk Franklin (artist), Chris Godbey (producer/engineer/mixer), Shaun Martin (producer), Eric Hartman (engineer/mixer), John Jaszcz (engineer/mixer)",True
2007,Best Contemporary World Music Album,Wonder Wheel - Lyrics By Woody Guthrie,"The Klezmatics (artist), Danny Blume (producer/engineer/mixer), Gus Oberg (engineer/mixer), Steve Rosenthal (engineer/mixer)",True
2007,Best Country Album,Taking the Long Way,"Dixie Chicks (artist), Rick Rubin (producer), Richard Dodd (engineer/mixer), Jim Scott (engineer/mixer), Chris Testa (engineer/mixer)",True
2007,Best Country Album,Your Man,Josh Turner,False
2007,Best Country Album,You Don't Know Me: The Songs of Cindy Walker,Willie Nelson,False
2007,Best Country Collaboration with Vocals,Who Says You Can't Go Home,"Bon Jovi, Jennifer Nettles",True
2007,Best Country Instrumental Performance,Whiskey Before Breakfast,"Bryan Sutton, Doc Watson",True
2007,Best Country Song,"Jesus, Take The Wheel","Brett James (songwriter), Hillary Lindsey (songwriter), Gordie Sampson (songwriter), Carrie Underwood (artist)",True
2007,Best Country Vocal Performance by a Duo or Group,Not Ready to Make Nice,Dixie Chicks,True
2007,Best Country Vocal Performance by a Duo or Group,What Hurts the Most,Rascal Flatts,False
2007,Best Country Vocal Performance by a Duo or Group,Leave the Pieces,The Wreckers,False
2007,Best Dance Recording,Sexy Back,"Justin Timberlake (artist/producer), Timbaland (artist/producer), DanJa (producer), Jimmy Douglass (mixer)",True
2007,Best Dance Recording,Ooh La La,"Goldfrapp (artist/producer), Mark Stent (mixer)",False
2007,Best Dance Recording,I'm With Stupid,"Pet Shop Boys (artist), Trevor Horn (producer), Robert Orton (mixer)",False
2007,Best Electronic/Dance Album,Confessions on a Dance Floor,"Madonna (artist), Stuart Price (producer), Mark Stent (engineer/mixer)",True
2007,Best Electronic/Dance Album,A Lively Mind,Paul Oakenfold,False
2007,Best Electronic/Dance Album,The Garden,Zero 7,False
2007,"Best Engineered Album, Classical","Elgar: Enigma Variations; Britten: The Young Person's Guide To The Orchestra, Four Sea Interludes","Michael Bishop (engineer), Paavo Järvi (artist), Cincinnati Symphony Orchestra (artist)",True
2007,"Best Engineered Album, Non-Classical",At War With The Mystics,"The Flaming Lips (artist/engineers), Dave Fridmann (engineer)",True
2007,Best Female Country Vocal Performance,"Jesus, Take The Wheel",Carrie Underwood,True
2007,Best Female Pop Vocal Performance,Ain't No Other Man,Christina Aguilera,True
2007,Best Female Pop Vocal Performance,Unwritten,Natasha Bedingfield,False
2007,Best Female Pop Vocal Performance,You Can Close Your Eyes,Sheryl Crow,False
2007,Best Female R&B Vocal Performance,Be Without You,Mary J. Blige,True
2007,Best Female R&B Vocal Performance,I Am Not My Hair,India Arie,False
2007,Best Female R&B Vocal Performance,Day Dreaming,Natalie Cole,False
2007,Best Gospel Performance,Victory,Yolanda Adams,True
2007,Best Gospel Song,Imagine Me,Kirk Franklin (artist/songwriter),True
2007,Best Hard Rock Performance,Woman,Wolfmother,True
2007,Best Hawaiian Music Album,Legends Of Hawaiian Slack Key Guitar - Live From Maui (Various artists),,True
2007,Best Historical Album,Lost Sounds: Blacks And The Birth Of The Recording Industry 1891-1922 (Various artists),"Meagan Hennessey (compilation producer), Richard Martin (compilation producer/mastering engineer), Tim Brooks (mastering engineer), David Giovannoni (mastering engineer)",True
2007,Best Instrumental Arrangement,Three Ghouls,Chick Corea (arranger),True
2007,Best Instrumental Arrangement Accompanying Vocalist(s),For Once In My Life,"Jorge Calandrelli (arranger), Tony Bennett (artist), Stevie Wonder (artist)",True
2007,Best Instrumental Composition,A Prayer For Peace,John Williams (composer),True
2007,Best Instrumental Soloist Performance (without Orchestra),Chopin: Nocturnes,"Maurizio Pollini (soloist), Christopher Alder (producer), Klaus Hiemann (engineer), Oliver Von Heyden (engineer)",True
2007,Best Instrumental Soloist(s) Performance (with Orchestra),Messiaen: Oiseaux Exotiques (Exotic Birds),Angeline Chang,True
2007,"Best Jazz Instrumental Album, Individual or Group",The Ultimate Adventure,"Chick Corea (artist), Bernie Kirsch (engineer/mixer), Al Schmitt (engineer/mixer), Buck Snow (engineer/mixer)",True
2007,Best Jazz Instrumental Solo,Some Skunk Funk,Michael Brecker (soloist),True
2007,Best Jazz Vocal Album,Turned To Blue,"Nancy Wilson (artist), Jay Ashby (producer), Martin Ashbee (producer), Jay Dudt (engineer/mixer)",True
2007,Best Large Jazz Ensemble Album,Some Skunk Funk,"Randy Brecker (artist), Michael Brecker (artist), Jim Beard (artist), Will Lee (artist), Peter Erskine (artist), Marcio Doctor (artist), Vincent Mendoza (artist), WDR Big Band Cologne (artist), Joachim Becker (producer), Lucas Schmid (producer), Peter Brandt (engineer/mixer), Klaus Genuit (engineer/mixer)",True
2007,Best Latin Jazz Album,Simpático,"The Brian Lynch/Eddie Palmieri Project (artist), Dave Darlington (engineer/mixer)",True
2007,Best Latin Pop Album,Limón Y Sal,"Julieta Venegas (artist), Cachorro López (producer), Juan Blas Caballero (engineer/mixer), Demián Nava (engineer/mixer), Sebastian Schon (engineer/mixer), Cesar Sogbe (engineer/mixer), Coti (engineer/mixer), Matías Sorokin (engineer/mixer)",True
2007,"Best Latin Rock, Alternative or Urban Album",Amar Es Combatir,"Maná (artist), Thom Russo (engineer/mixer)",True
2007,Best Long Form Music Video,Wings for Wheels: The Making of 'Born to Run',"Bruce Springsteen (artist), Thom Zimny (video director/video producer)",True
2007,Best Long Form Music Video,Gorillaz: Live in Manchester,"Gorillaz (artist), David Barnard (video director), Cara Speller (video producer)",False
2007,Best Long Form Music Video,"Terence Blanchard (artist), Jim Gabour (video director/video producer), Robin Burgess (video producer)",,False
2007,Best Male Country Vocal Performance,The Reason Why,Vince Gill,True
2007,Best Male Pop Vocal Performance,Waiting On the World to Change,John Mayer,True
2007,Best Male Pop Vocal Performance,You're Beautiful,James Blunt,False
2007,Best Male Pop Vocal Performance,Jenny Wren,Paul McCartney,False
2007,Best Male R&B Vocal Performance,Heaven,John Legend,True
2007,Best Male R&B Vocal Performance,Got You Home,Luther Vandross,False
2007,Best Male R&B Vocal Performance,Black Sweat,Prince,False
2007,Best Metal Performance,Eyes Of The Insane,Slayer,True
2007,Best Mexican/Mexican-American Album,Historias De Mi Tierra,"Pepe Aguilar (artist), Norberto Islas (engineer/mixer)",True
2007,Best Musical Album for Children,Catch That Train!,Daniel Zanes,True
2007,Best Musical Show Album,Jersey Boys (Original Broadway Cast),"Bob Gaudio (producer), Pete Karam (engineer/mixer)",True
2007,Best Native American Music Album,Dance With The Wind,"Mary Youngblood (artist), Tom Wasinger (producer/engineer/mixer)",True
2007,Best New Age Album,Amarantine,"Enya (artist), Nicky Ryan (producer/engineer/mixer)",True
2007,Best New Artist,Carrie Underwood,,True
2007,Best New Artist,Corinne Bailey Rae,,False
2007,Best New Artist,James Blunt,,False
2007,Best Norteño Album,Historias Que Contar,"Los Tigres del Norte (artist), Eduardo Hernández (engineer/mixer), Joseph Pope (engineer/mixer), Walter Romero (engineer/mixer)",True
2007,Best Opera Recording,Golijov: Ainadamar: Fountain Of Tears,"Robert Spano (conductor), Valerie Gross (producer), Sid McLauchlan (producer), Kelley O'Connor (soloist), Jessica Rivera (soloist), Dawn Upshaw (soloist), Staphan Flock (engineer), Wolf-Dieter Karwatky (engineer), Women of the Atlanta Symphony Orchestra Chorus (artist), Atlanta Symphony Orchestra (artist)",True
2007,Best Orchestral Performance,Mahler: Symphony No. 7,"Michael Tilson Thomas (conductor), Andreas Neubrunner (producer), Peter Laenger (engineer), San Francisco Symphony (artist)",True
2007,Best Polka Album,Polka In Paradise,"Jimmy Sturr (artist), Joe Donofrio (producer/engineer/mixer), Ken Irwin (producer/engineer/mixer), Tom Pick (producer/engineer/mixer), Mark Capps (engineer/mixer)",True
2007,Best Pop Collaboration with Vocals,For Once in My Life,"Tony Bennett, Stevie Wonder",True
2007,Best Pop Collaboration with Vocals,Promiscuous,"Nelly Furtado, Timbaland",False
2007,Best Pop Collaboration with Vocals,Hips Don't Lie,"Wyclef Jean, Shakira",False
2007,Best Pop Instrumental Album,Fingerprints,"Peter Frampton (artist), Gordon Kennedy (producer), Chuck Ainlay (engineer/mixer), Aaron Swihart (engineer/mixer)",True
2007,Best Pop Instrumental Performance,Mornin',"George Benson, Al Jarreau",True
2007,Best Pop Performance by a Duo or Group with Vocals,My Humps,The Black Eyed Peas,True
2007,Best Pop Performance by a Duo or Group with Vocals,Is It Any Wonder?,Keane,False
2007,Best Pop Performance by a Duo or Group with Vocals,Stickwitu,The Pussycat Dolls,False
2007,Best Pop Vocal Album,Continuum,"John Mayer (artist), Steve Jordan (producer), Michael Brauer (engineer/mixer), Joe Ferla (engineer/mixer), Chad Franscoviak (engineer/mixer)",True
2007,Best Pop Vocal Album,The River in Reverse,"Elvis Costello, Allen Toussaint",False
2007,Best Pop Vocal Album,FutureSex/LoveSounds,Justin Timberlake,False
2007,Best Pop/Contemporary Gospel Album,Wherever You Are,"Third Day (artist), Brown Bannister (producer), Steve Bishir (engineer/mixer), Kark Egsieker (engineer/mixer), F. Reid Shippen (engineer/mixer)",True
2007,Best R&B Album,The Breakthrough,"Mary J. Blige (artist), Patrick Dillett (engineer/mixer)",True
2007,Best R&B Album,Unpredictable,Jamie Foxx,False
2007,Best R&B Album,3121,Prince,False
2007,Best R&B Song,Be Without You,"Mary J. Blige (artist/songwriter), Johnta Austin (songwriter), Bryan Michael Cox (songwriter), Jason Perry (songwriter)",True
2007,Best R&B Vocal Performance by a Duo or Group,Family Affair,"John Legend, Joss Stone, Van Hunt, Sly and the Family Stone",True
2007,Best R&B Vocal Performance by a Duo or Group,Love Changes,"Jamie Foxx, Mary J. Blige",False
2007,Best R&B Vocal Performance by a Duo or Group,Everyday (Family Reunion),"Yolanda Adams, Gerald Levert, Carl Thomas, Chaka Khan",False
2007,Best Rap Album,Release Therapy,"Ludacris (artist), Joshua Monroy (engineer/mixer), Phil Tan (engineer/mixer)",True
2007,Best Rap Album,In My Mind,Pharrell Williams,False
2007,Best Rap Album,Game Theory,The Roots,False
2007,Best Rap Performance By a Duo or Group,Ridin,"Chamillionaire, Krayzie Bone",True
2007,Best Rap Solo Performance,What You Know',T.I.,True
2007,Best Rap Song,Money Maker,"Ludacris (artist/songwriter), Pharrell Williams (artist/songwriter)",True
2007,Best Rap/Sung Collaboration,My Love,"T.I., Justin Timberlake",True
2007,Best Rap/Sung Collaboration,Smack That,"Eminem, Akon",False
2007,Best Rap/Sung Collaboration,Deja Vu,"Jay-Z, Beyoncé",False
2007,Best Recording Package,"10,000 Days","Adam Jones (art director), Tool (artist)",True
2007,Best Reggae Album,Love Is My Religion,"Ziggy Marley (artist), Marc Moreau (engineer/mixer), Dave Way (engineer/mixer)",True
2007,"Best Remixed Recording, Non-Classical",Talk (Thin White Duke Mix),"Stuart Price (remixer), Coldplay (artist)",True
2007,Best Rock Album,Stadium Arcadium,"Red Hot Chili Peppers (artist), Rick Rubin (producer), Ryan Hewitt (engineer/mixer), Mark Linett (engineer/mixer), Andrew Scheps (engineer/mixer)",True
2007,Best Rock Instrumental Performance,The Wizard Turns On...,The Flaming Lips,True
2007,Best Rock Performance by a Duo or Group with Vocal,Dani California,Red Hot Chili Peppers,True
2007,Best Rock Song,Dani California,Red Hot Chili Peppers (artist/songwriters),True
2007,Best Rock or Rap Gospel Album,Turn Around,"Jonny Lang (artist), Drew Ramsey (producer), Shannon Sanders (producer), Matt Hyde (engineer/mixer), F. Reid Shippen (engineer/mixer)",True
2007,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Memoirs of a Geisha,"John Williams (artist/composer), Shawn Murphy (engineer/mixer), Itzhak Perlman (artist), Yo-Yo Ma (artist)",True
2007,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Pirates of the Caribbean: Dead Man's Chest,Hans Zimmer,False
2007,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",The Da Vinci Code,Hans Zimmer,False
2007,Best Short Form Music Video,OK Go: Here It Goes Again,"Trish Sie (video director/video producer), Damian Kulash (video director/video producer), Timothy Nordwind (video director/video producer), Dan Konopka (video director/video producer), Andy Ross (video director/video producer)",True
2007,Best Small Ensemble Performance,Padilla: Sun Of Justice,"Fred Vogler (producer/engineer), Peter Rutenberg (conductor), Los Angeles Chamber Singers' Capella (ensembles)",True
2007,Best Solo Rock Vocal Performance,Someday Baby,Bob Dylan,True
2007,"Best Song Written for Motion Picture, Television or Other Visual Media",Our Town,Cars,True
2007,"Best Song Written for Motion Picture, Television or Other Visual Media",Can't Take It In,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",False
2007,"Best Song Written for Motion Picture, Television or Other Visual Media",Travelin' Thru,Transamerica,False
2007,"Best Southern, Country or Bluegrass Gospel Album",Glory Train,"Randy Travis (artist), Kyle Lehning (producer/engineer/mixer), Casey Wood (engineer/mixer)",True
2007,Best Spoken Word Album,Our Endangered Values: America's Moral Crisis,"Jimmy Carter (artist), Elisa Shokoff (producer), John St. Denis (engineer/mixer), Steve Strassman (engineer/mixer)",True
2007,Best Spoken Word Album,The Truth (with Jokes),Al Franken,False
2007,Best Spoken Word Album,I Shouldn't Even Be Doing This!,Bob Newhart,False
2007,Best Spoken Word Album for Children,"Blah Blah Blah: Stories About Clams, Swamp Monsters, Pirates & Dogs","Bill Harley (artist), Correia,David (engineer/mixer)",True
2007,Best Surround Sound Album,Morph The Cat,"Donald Fagen (artist/surround producer), Elliot Scheiner (surround mix engineer), Darcy Proper (surround mastering engineer)",True
2007,Best Tejano Album,Sigue El Taconazo,Chente Barrera and Taconazo (artist),True
2007,Best Traditional Blues Album,Risin' With The Blues,"Ike Turner (artist), Ike Turner Jr. (producer), Alexander Track (engineer/mixer)",True
2007,Best Traditional Folk Album,We Shall Overcome - The Seeger Sessions,"Bruce Springsteen (artist), Bob Clearmountain (engineer/mixer), Toby Scott (engineer/mixer)",True
2007,Best Traditional Gospel Album,Alive In South Africa,"Israel & New Breed (artist), Aaron Lindsey (producer), Danny Duncan (engineer/mixer), Salvo (engineer/mixer)",True
2007,Best Traditional Pop Vocal Album,Duets: An American Classic,"Dae Bennett (engineer/mixer), Tony Bennett (artist), Phil Ramone (producer)",True
2007,Best Traditional R&B Vocal Performance,God Bless The Child,"George Benson, Al Jarreau, Jill Scott",True
2007,Best Traditional World Music Album,Blessed,"Soweto Gospel Choir (artist), Robin Hogarth (producer), Fernando Perdigao (engineer/mixer)",True
2007,Best Tropical Latin Album,Directo Al Corazón,"Gilberto Santa Rosa (artist), Jose Lugo (producer), Rolando Alejandro (engineer/mixer)",True
2007,Best Urban/Alternative Performance,Crazy,Gnarls Barkley,True
2007,Best Urban/Alternative Performance,Idlewild Blue (Don't Chu Worry 'Bout Me),Outkast,False
2007,Best Urban/Alternative Performance,Mas Que Nada,"The Black Eyed Peas, Sergio Mendes",False
2007,"Producer of the Year, Classical",Elaine Martone,,True
2007,"Producer of the Year, Non-Classical",Rick Rubin,,True
2007,"Producer of the Year, Non-Classical",Howard Benson,,False
2007,"Producer of the Year, Non-Classical",Will.i.am,,False
2007,Record of the Year,Not Ready to Make Nice,"Dixie Chicks (artist), Rick Rubin (producer), Richard Dodd (engineer/mixer), Jim Scott (engineer/mixer), Chris Testa (engineer/mixer)",True
2007,Song of the Year,Not Ready to Make Nice,"Natalie Maines (songwriter), Dan Wilson (songwriter), Emily Robison (songwriter), Martie Maguire (songwriter)",True
2007,Song of the Year,You're Beautiful,"James Blunt (songwriter), Amanda Ghost (songwriter), Sacha Skarbek (songwriter)",False
2007,Song of the Year,Be Without You,"Mary J. Blige (songwriter), Johnta Austin (songwriter), Jason Perry (songwriter), Bryan Michael Cox (songwriter)",False
2008,Album of the Year,River: The Joni Letters,"Herbie Hancock (artist/producer), Leonard Cohen (featured artist), Norah Jones (featured artist), Joni Mitchell (featured artist), Corinne Bailey Rae (featured artist), Luciana Souza (featured artist), Tina Turner (featured artist), Larry Klein (producer), Helik Hadar (engineer/mixer), Bernie Grundman (mastering engineer)",True
2008,Best Album Notes,"John Work, III: Recording Black Culture (Various artists)",Bruce Nemerov (album notes writer),True
2008,Best Alternative Music Album,Icky Thump,The White Stripes,True
2008,Best Alternative Music Album,Volta,Björk,False
2008,Best Alternative Music Album,Wincing the Night Away,The Shins,False
2008,Best Banda Album,Te Va A Gustar,El Chapo de Sinaloa (artist/producer),True
2008,Best Bluegrass Album,The Bluegrass Diaries,"Jim Lauderdale (artist), Randy Kohrs (producer)",True
2008,Best Boxed or Special Limited Edition Package,What It Is!: Funky Soul And Rare Grooves (1967-1977) (Various artists),Masaki Koike (art director),True
2008,Best Chamber Music Performance,Strange Imaginary Animals,"Eighth Blackbird (ensembles), Judith Sherman (producer/engineer)",True
2008,Best Choral Performance,Brahms: Ein Deutsches Requiem,"Simon Halsey (chorus master), Simon Rattle (conductor), Stephen Johns (producer), Mike Clements (engineer), Thomas Quasthoff (artist), Dorothea Röschmann (artist), Rundfunkchor Berlin (artist), Berliner Philharmoniker (artist)",True
2008,Best Classical Album,Tower: Made In America,"Leonard Slatkin (conductor), Tim Handley (producer)",True
2008,Best Classical Contemporary Composition,Made In America,Joan Tower (composer),True
2008,Best Classical Crossover Album,A Love Supreme: The Legacy Of John Coltrane,"Turtle Island String Quartet (artist), Thomas C. Moore (producer), Michael Bishop (engineer)",True
2008,Best Classical Vocal Performance,Lorraine Hunt Lieberson Sings Peter Lieberson: Neruda Songs,"Lorraine Hunt Lieberson (soloist), Dirk Sobotka (producer), Mark Donahue (engineer), John Newton (engineer), James Levine (artist), Boston Symphony Orchestra (artist)",True
2008,Best Comedy Album,The Distant Future,"Flight of the Conchords, Jemaine Clement (producer), Bret McKenzie (producer), Mickey Petralia (producer), Matthew Shane (engineer/mixer)",True
2008,Best Comedy Album,Songs Pointed and Pointless,Harry Shearer,False
2008,Best Comedy Album,I Still Have A Pony,Steven Wright,False
2008,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",The Beatles in 'Love',"George Martin (producer), Giles Martin (producer)",True
2008,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Dreamgirls,"Beyoncé (artist), Jennifer Hudson (artist), Anika Noni Rose (artist), Harvey Mason Jr. (producer), Randy Spendlove (producer), Matthew Rush Sullivan (producer), Damon Thomas (producer)",False
2008,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Once,"Glen Hansard (artist/producer), Markéta Irglová (artist)",False
2008,Best Contemporary Blues Album,The Road To Escondido,"J.J. Cale (artist/producer), Eric Clapton (artist/producer), Simon Climie (producer), Alan Douglas (engineer), Mick Guzauski (engineer)",True
2008,Best Contemporary Folk/Americana Album,Washington Square Serenade,"Steve Earle (artist), John King (producer/engineer/mixer), Tom Camuso (engineer/mixer), Josh Wilbur (engineer/mixer)",True
2008,Best Contemporary Folk/Americana Album,Children Running Through,Patty Griffin,False
2008,Best Contemporary Folk/Americana Album,"Orphans: Brawlers, Bawlers & Bastards",Tom Waits,False
2008,Best Contemporary Jazz Album,River: The Joni Letters,"Herbie Hancock (artist/producer), Larry Klein (producer)",True
2008,Best Contemporary R&B Album,Because Of You,Ne-Yo (producer),True
2008,Best Contemporary R&B Gospel Album,Free To Worship,"Fred Hammond (artist/producer/engineer/mixer), Ray Hammond (engineer/mixer)",True
2008,Best Contemporary World Music Album,Djin Djin,"Angélique Kidjo (artist), Tony Visconti (producer)",True
2008,Best Country Album,These Days,"Vince Gill (artist), John Hobbs (producer), Justin Niebank (producer)",True
2008,Best Country Album,Long Trip Alone,Dierks Bentley,False
2008,Best Country Album,Let It Go,Tim McGraw,False
2008,Best Country Collaboration with Vocals,Lost Highway,"Willie Nelson, Ray Price",True
2008,Best Country Collaboration with Vocals,Because of You,"Kelly Clarkson, Reba McEntire",False
2008,Best Country Collaboration with Vocals,I Need You,"Tim McGraw, Faith Hill",False
2008,Best Country Instrumental Performance,Throttleneck,Brad Paisley,True
2008,Best Country Performance by a Duo or Group with Vocals,How Long,Eagles,True
2008,Best Country Song,Before He Cheats,"Carrie Underwood (artist), Josh Kear (songwriter), Chris Tompkins (songwriter)",True
2008,Best Dance Recording,LoveStoned/I Think She Knows,"Justin Timberlake (artist/producer), DanJa (producer), Timbaland (producer/mixer), Jimmy Douglass (mixer)",True
2008,Best Electronic/Dance Album,We Are The Night,"The Chemical Brothers (artist), Tom Rowlands (producer), Ed Simons (producer)",True
2008,"Best Engineered Album, Classical",Grechaninov: Passion Week,"John Newton (engineer), Charles Bruffy (artist), Phoenix Bach Choir (artist), Kansas City Chorale (artist)",True
2008,"Best Engineered Album, Non-Classical",Beauty & Crime,"Tchad Blake (engineer), Cameron Craig (engineer), Emery Dobyns (engineer), Jimmy Hogarth (engineer), Suzanne Vega (artist)",True
2008,Best Female Country Vocal Performance,Before He Cheats,Carrie Underwood,True
2008,Best Female Country Vocal Performance,Nothin' Better To Do,LeAnn Rimes,False
2008,Best Female Country Vocal Performance,"Heaven, Heartache and the Power of Love",Trisha Yearwood,False
2008,Best Female Pop Vocal Performance,Rehab,Amy Winehouse,True
2008,Best Female Pop Vocal Performance,Big Girls Don't Cry,Fergie,False
2008,Best Female Pop Vocal Performance,Say It Right,Nelly Furtado,False
2008,Best Female R&B Vocal Performance,No One,Alicia Keys,True
2008,Best Gospel Performance,Never Gonna Break My Faith,"Aretha Franklin, Mary J. Blige, The Boys Choir of Harlem",True
2008,Best Gospel Song,Blessed & Highly Favored,"Karen Clark Sheard (songwriter), The Clark Sisters (artist)",True
2008,Best Hard Rock Performance,The Pretender,Foo Fighters,True
2008,Best Hard Rock Performance,I Don't Wanna Stop,Ozzy Osbourne,False
2008,Best Hard Rock Performance,The Pot,Tool,False
2008,Best Hawaiian Music Album,Treasures Of Hawaiian Slack Key Guitar (Various artists),"Peter Deaquino (engineer/mixer), Daniel Ho (engineer/mixer), Sterling Seaton (engineer/mixer)",True
2008,Best Historical Album,The Live Wire - Woody Guthrie In Performance 1949,"Nora Guthrie (compilation producer), Jorge Arévalo Mateus (compilation producer), Jamie Howarth (mastering engineer), Steve Rosenthal (mastering engineer), Warren Russell-Smith (mastering engineer), Kevin Short (mastering engineer), Woody Guthrie (artist)",True
2008,Best Instrumental Arrangement,In a Silent Way,"Vincent Mendoza (arranger), Joe Zawinul Musikschule (artist)",True
2008,Best Instrumental Arrangement Accompanying Vocalist(s),I'm Gonna Live Till I Die,"John Clayton (arranger), Queen Latifah (artist)",True
2008,Best Instrumental Composition,Cerulean Skies,Maria Schneider (composer),True
2008,Best Instrumental Soloist Performance (without Orchestra),"Beethoven Sonatas, Vol. 3","Garrick Ohlsson (soloist), Adam Abeshouse (producer/engineer)",True
2008,Best Instrumental Soloist(s) Performance (with Orchestra),Barber/Korngold/Walton: Violin Concertos,"James Ehnes (producer), Denise Ball (producer), Don Harder (engineer), The Vancouver Symphony Orchestra (artist)",True
2008,"Best Jazz Instrumental Album, Individual or Group",Pilgrimage,"Michael Brecker (artist/producer), Gil Goldstein (producer), Pat Metheny (producer), Steve Rodby (producer)",True
2008,Best Jazz Instrumental Solo,Anagram,Michael Brecker,True
2008,Best Jazz Vocal Album,Avant Gershwin,"Patti Austin (artist/producer), Michael Abene (producer), Lucas Schmid (producer)",True
2008,Best Large Jazz Ensemble Album,A Tale Of God's Will (A Requiem For Katrina),Terence Blanchard (artist/producer),True
2008,Best Latin Jazz Album,Funk Tango,"Paquito D'Rivera Quintet (artist), Brenda Feliciano (producer)",True
2008,Best Latin Pop Album,El Tren De Los Momentos,"Alejandro Sanz (artist/producer/engineer), Lulo Perez (producer/engineer), Carlos Alvarez (engineer), Thom Russo (engineer), Rafa Sardina (engineer), Pepo Scherman (engineer)",True
2008,Best Latin Rock or Alternative Album,No Hay Espacio,"Black:Guayaba (artist), Gabriel Calero (producer), Carlos Colón (producer), Gustavo Gonzalez (producer), Javier A. Morales Negron (producer), Carlos Ortiz (producer), Seth Atkins Horan (engineer), Paolo Capeles (engineer), Antonio Fornaris (engineer), Bob St. John (engineer)",True
2008,Best Latin Urban Album,Residente O Visitante,"Calle 13 (artist), Iván Gutiérrez (engineer/mixer), Ramón Martínez (engineer/mixer), Edgardo Matta (engineer/mixer), Carlos Velázquez (engineer/mixer)",True
2008,Best Long Form Music Video,Madonna: The Confessions Tour Live from London,"Madonna (artist), Jonas Åkerlund (video director), Sara Martin (video producer), David May (video producer)",True
2008,Best Long Form Music Video,Dean Bates (video producer),,False
2008,Best Long Form Music Video,Trapped in the Closet: Chapters 13-22,"R. Kelly (artist/video director), Victor Mignatti (video director), Jim Swaffield (video director), Ann Carli (video producer)",False
2008,Best Male Country Vocal Performance,Stupid Boy,Keith Urban,True
2008,Best Male Pop Vocal Performance,What Goes Around...Comes Around,Justin Timberlake,True
2008,Best Male Pop Vocal Performance,Everything,Michael Bublé,False
2008,Best Male Pop Vocal Performance,Amazing,Seal,False
2008,Best Male R&B Vocal Performance,Future Baby Mama,Prince,True
2008,Best Metal Performance,Final Six,Slayer,True
2008,Best Mexican/Mexican–American Album,100% Mexicano,"Pepe Aguilar (artist/producer/engineer), Norberto Islas (engineer), Enrique Mendivil (engineer)",True
2008,Best Musical Album for Children,A Green and Red Christmas,The Muppets,True
2008,Best Musical Show Album,Spring Awakening (Original Broadway Cast),"Duncan Sheik (composer/producer), Steven Sater (lyricist), Michael Tudor (engineer)",True
2008,Best Native American Music Album,Totemic Flute Chants,"Johnny Whitehorse (artist), Larry Mitchell (producer/engineer)",True
2008,Best New Age Album,Crestone,Paul Winter Consort,True
2008,Best New Artist,Amy Winehouse,,True
2008,Best New Artist,Leslie Feist,,False
2008,Best New Artist,Taylor Swift,,False
2008,Best Norteño Album,Detalles Y Emociones,Los Tigres del Norte (artist/producer),True
2008,Best Opera Recording,Humperdinck: Hansel & Gretel,"Charles Mackerras (conductor), Brian Couzens (producer), Rebecca Evans (soloist), Jane Henschel (soloist), Jennifer Larmore (soloist), Ralph Couzens (engineer), The New London Children's Choir (artist), The Philharmonia Orchestra (artist)",True
2008,Best Orchestral Performance,Tower: Made In America,"Leonard Slatkin (conductor), Tim Handley (producer/engineer), Nashville Symphony (artist)",True
2008,Best Polka Album,Come Share the Wine,"Jimmy Sturr (artist), Joseph Donofrio (producer/engineer), Kenneth R. Irwin (producer/engineer), Tom Pick (producer/engineer), Mark Capps (engineer)",True
